box_id,timestamp,input_address,formatted_address,neighborhood,locality,lat,lng,elevation_m,cargo_type,length_cm,width_cm,height_cm,weight_kg,volume_cm3,volume_m3,density_kg_m3,source,notes
BX-000001,2026-04-08T21:46:43.471149+00:00,carrera 98 # 77 ,"Cra. 98 # 63-77, Santa Margarita, Medellín, Robledo, Medellín, Antioquia, Colombia",Santa Margarita,Medellín,6.2801856,-75.6090142,1729.4,Hardware and tools,6.52,3.74,3.74,20.0,91.2,9.1e-05,219300.28,opencv_stream,
BX-000002,2026-04-08T22:01:28.481589+00:00,ipuc bello horizonte,"Cra. 91a #78a-98, Aures I, Medellín, Robledo, Medellín, Antioquia, Colombia",Aures I,Medellín,6.2881383,-75.5914846,1729.4,Industrial supplies,6.53,3.65,3.65,4.0,87.0,8.7e-05,45979.17,opencv_stream,
